trace,protocol,start_ms,avg_kbps,std_kbps,util_fixed_%,trace_med_kbps,rebuf_%,rebuf_s,rebuf_n,switches,up,down,buffer_s
unit178682,dash,1643.6,2287.5,1235.5,32.91,6950.0,1.595,9.67,10,48,25,23,12.87
unit178682,hls,1167.6,2864.3,818.6,41.21,6950.0,0.076,0.45,1,16,7,9,27.98
unit178682,webrtc,188.5,2858.8,362.0,41.16,6946.0,0.0,0.0,0,938,22,916,0.5
unit241853,dash,1656.4,4413.7,349.4,62.89,7018.0,0.154,0.92,2,2,1,1,22.02
unit241853,hls,1173.7,3280.8,233.4,46.75,7018.0,0.076,0.46,1,1,1,0,28.79
unit241853,webrtc,168.3,2910.3,217.5,41.47,7018.0,0.0,0.0,0,348,172,176,0.5
unit26562,dash,726.5,4500.0,0.0,4.67,96265.0,0.016,0.1,1,0,0,0,26.54
unit26562,hls,640.0,4919.8,367.9,5.11,96265.0,0.047,0.28,1,1,1,0,30.54
unit26562,webrtc,170.1,2903.1,237.0,2.97,97753.0,0.0,0.0,0,285,141,144,0.5
unit619854,dash,910.6,4500.0,0.0,10.19,44177.0,0.017,0.1,1,0,0,0,26.42
unit619854,hls,621.6,4919.8,368.1,11.14,44177.0,0.047,0.28,1,1,1,0,30.45
unit619854,webrtc,154.7,2907.8,216.1,6.58,44177.0,0.0,0.0,0,292,147,145,0.5
unit656870,dash,1827.7,2789.3,1056.2,46.08,6053.0,0.576,3.46,8,71,29,42,10.31
unit656870,hls,1291.5,3280.8,233.4,54.2,6053.0,0.085,0.51,1,1,1,0,28.37
unit656870,webrtc,162.2,2861.6,330.6,47.82,5983.5,0.0,0.0,0,900,37,863,0.5
unit799440,dash,4865.3,829.5,371.7,43.48,1908.0,1.255,7.58,19,97,39,58,9.22
unit799440,hls,3204.9,877.0,35.9,45.97,1908.0,0.198,1.18,1,1,1,0,28.84
unit799440,webrtc,158.1,2777.1,842.7,145.55,1908.0,0.0,0.0,0,993,990,3,0.5
unit806274,dash,3107.3,1704.1,444.9,51.94,3281.0,0.163,0.97,3,35,15,20,17.4
unit806274,hls,2033.5,1633.0,111.5,49.77,3281.0,0.128,0.76,1,5,3,2,28.31
unit806274,webrtc,158.2,2863.6,359.4,87.38,3277.0,0.0,0.0,0,932,22,910,0.5
unit8814,dash,806.6,4500.0,0.0,3.04,148020.0,0.016,0.1,1,0,0,0,26.54
unit8814,hls,733.2,4919.8,368.1,3.32,148020.0,0.052,0.31,1,1,1,0,30.52
unit8814,webrtc,155.2,2906.2,230.1,1.97,147619.0,0.0,0.0,0,313,159,154,0.5
unit925854,dash,803.6,4500.0,0.0,15.71,28647.0,0.017,0.1,1,0,0,0,26.2
unit925854,hls,657.6,4919.8,367.9,17.17,28647.0,0.048,0.29,1,1,1,0,30.19
unit925854,webrtc,157.6,2907.2,218.6,10.15,28646.0,0.0,0.0,0,288,151,137,0.5
unit941754,dash,5416.6,1521.0,608.1,45.23,3363.0,0.617,3.7,4,37,18,19,17.13
unit941754,hls,3559.7,1491.7,623.4,44.36,3363.0,0.22,1.31,1,4,4,0,28.24
unit941754,webrtc,159.9,2557.9,883.9,75.19,3402.0,0.0,0.0,0,989,4,985,0.5
