since,relative_seconds,rtt,bandwidth_kbps
0.000,0.000,500.00,739
5.000,5.000,500.00,821
10.000,10.000,500.00,864
15.000,15.000,500.00,871
20.000,20.000,500.00,869
25.000,25.000,500.00,851
30.000,30.000,500.00,873
35.000,35.000,500.00,871
40.000,40.000,500.00,845
45.000,45.000,500.00,875
50.000,50.000,500.00,879
55.000,55.000,500.00,882
60.000,60.000,500.00,869
65.000,65.000,500.00,871
70.000,70.000,500.00,502
75.000,75.000,500.00,882
80.000,80.000,500.00,866
85.000,85.000,500.00,866
90.000,90.000,500.00,879
95.000,95.000,500.00,879
100.000,100.000,500.00,886
105.000,105.000,500.00,865
110.000,110.000,500.00,826
115.000,115.000,500.00,0
120.000,120.000,500.00,515
125.000,125.000,500.00,593
130.000,130.000,500.00,811
135.000,135.000,500.00,871
140.000,140.000,500.00,879
145.000,145.000,500.00,703
150.000,150.000,500.00,850
155.000,155.000,500.00,876
160.000,160.000,500.00,866
165.000,165.000,500.00,776
170.000,170.000,500.00,877
175.000,175.000,500.00,886
180.000,180.000,500.00,867
185.000,185.000,500.00,869
